Dataset,Task,Multiplier,Raw MF,Dedup MF (mean±std),Delta (mean±std),CI excludes zero
Concrete,regression,0.1,63.2,62.60 ± 3.98,+0.00000 ± 0.00000,no
Concrete,regression,0.3,63.2,62.60 ± 3.98,+0.00000 ± 0.00000,no
Concrete,regression,1,63.2,62.60 ± 3.98,+0.00000 ± 0.00000,no
Concrete,regression,2,63.2,62.50 ± 3.89,+0.00011 ± 0.00033,no
Concrete,regression,3,63.2,62.10 ± 3.87,-0.00021 ± 0.00150,no
Concrete,regression,5,63.2,61.20 ± 4.08,-0.00105 ± 0.00235,no
Concrete,regression,7,63.2,60.40 ± 4.03,-0.00099 ± 0.00231,no
Concrete,regression,10,63.2,58.40 ± 3.86,-0.01221 ± 0.03315,no
Concrete,regression,15,63.2,50.40 ± 3.69,-0.11237 ± 0.09501,yes
Concrete,regression,20,63.2,43.70 ± 3.43,-0.30295 ± 0.34873,yes
Concrete,regression,30,63.2,32.90 ± 2.85,-1.18519 ± 0.39908,yes
Concrete,regression,50,63.2,22.80 ± 2.49,-4.00730 ± 1.25195,yes
Concrete,regression,70,63.2,13.30 ± 2.45,-5.40043 ± 0.37148,yes
Concrete,regression,100,63.2,6.20 ± 1.32,-5.41537 ± 0.35775,yes
Diabetes,regression,0.1,41.6,38.40 ± 1.51,+0.00000 ± 0.00000,no
Diabetes,regression,0.3,41.6,38.40 ± 1.51,+0.00000 ± 0.00000,no
Diabetes,regression,1,41.6,36.20 ± 1.87,+0.00568 ± 0.01779,no
Diabetes,regression,2,41.6,31.40 ± 2.41,+0.00528 ± 0.01603,no
Diabetes,regression,3,41.6,26.80 ± 2.10,-0.00566 ± 0.02442,no
Diabetes,regression,5,41.6,20.00 ± 1.70,-0.03231 ± 0.03083,yes
Diabetes,regression,7,41.6,16.60 ± 2.63,-0.04973 ± 0.03768,yes
Diabetes,regression,10,41.6,13.20 ± 1.62,-0.05387 ± 0.06115,yes
Diabetes,regression,15,41.6,8.90 ± 1.20,-0.52005 ± 0.63394,yes
Diabetes,regression,20,41.6,5.80 ± 1.14,-0.09609 ± 0.09322,yes
Diabetes,regression,30,41.6,2.10 ± 0.74,-0.51759 ± 0.55590,yes
Diabetes,regression,50,41.6,1.10 ± 0.32,-0.65141 ± 0.58978,yes
Diabetes,regression,70,41.6,1.00 ± 0.00,-0.70060 ± 0.56964,yes
Diabetes,regression,100,41.6,1.00 ± 0.00,-0.70060 ± 0.56964,yes
