X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11,X12,Y12,X13,Y13,X14,Y14,X15,Y15,X16,Y16,X17,Y17,X18,Y18,X19,Y19,X20,Y20,X21,Y21,X22,Y22,X23,Y23,X24,Y24,X25,Y25,X26,Y26,X27,Y27,X28,Y28,X29,Y29,X30,Y30,X31,Y31,X32,Y32,X33,Y33,X34,Y34,X35,Y35,X36,Y36,X37,Y37,X38,Y38,X39,Y39,X40,Y40,X41,Y41,X42,Y42,X43,Y43,X44,Y44,X45,Y45,X46,Y46,X47,Y47,X48,Y48,X49,Y49,X50,Y50,X51,Y51,X52,Y52,X53,Y53,X54,Y54,X55,Y55,X56,Y56,X57,Y57,X58,Y58,X59,Y59,X60,Y60,X61,Y61,X62,Y62,X63,Y63,X64,Y64,X65,Y65,X66,Y66,X67,Y67,X68,Y68,X69,Y69,X70,Y70,X71,Y71,X72,Y72,X73,Y73,X74,Y74,X75,Y75,X76,Y76,X77,Y77,X78,Y78,X79,Y79,X80,Y80,X81,Y81,X82,Y82,X83,Y83,X84,Y84,X85,Y85,X86,Y86,X87,Y87,X88,Y88,X89,Y89,X90,Y90,X91,Y91,X92,Y92,X93,Y93,X94,Y94,X95,Y95,X96,Y96,X97,Y97,X98,Y98,X99,Y99,X100,Y100,Power1,Power2,Power3,Power4,Power5,Power6,Power7,Power8,Power9,Power10,Power11,Power12,Power13,Power14,Power15,Power16,Power17,Power18,Power19,Power20,Power21,Power22,Power23,Power24,Power25,Power26,Power27,Power28,Power29,Power30,Power31,Power32,Power33,Power34,Power35,Power36,Power37,Power38,Power39,Power40,Power41,Power42,Power43,Power44,Power45,Power46,Power47,Power48,Power49,Power50,Power51,Power52,Power53,Power54,Power55,Power56,Power57,Power58,Power59,Power60,Power61,Power62,Power63,Power64,Power65,Power66,Power67,Power68,Power69,Power70,Power71,Power72,Power73,Power74,Power75,Power76,Power77,Power78,Power79,Power80,Power81,Power82,Power83,Power84,Power85,Power86,Power87,Power88,Power89,Power90,Power91,Power92,Power93,Power94,Power95,Power96,Power97,Power98,Power99,Power100,qW,Total_Power
598,0,597.07,77.44,593.7,150,484.98,198,998,0,997.07,77.44,993.7,150,884.98,198,1198,0,1197.07,77.44,1193.7,150,1084.98,198,598,200,597.07,277.44,593.7,350,484.98,398,798,200,797.07,277.44,793.7,350,684.98,398,1198,200,1197.07,277.44,1193.7,350,1084.98,398,1398,200,1397.07,277.44,1393.7,350,1284.98,398,398,400,397.07,477.44,393.7,550,284.98,598,598,400,597.07,477.44,593.7,550,484.98,598,998,400,997.07,477.44,993.7,550,884.98,598,1398,400,1397.07,477.44,1393.7,550,1284.98,598,198,600,197.07,677.44,193.7,750,84.98,798,398,600,397.07,677.44,393.7,750,284.98,798,798,600,797.07,677.44,793.7,750,684.98,798,1198,600,1197.07,677.44,1193.7,750,1084.98,798,798,800,797.07,877.44,793.7,950,684.98,998,198,1000,197.07,1077.44,193.7,1150,84.98,1198,398,1000,397.07,1077.44,393.7,1150,284.98,1198,598,1000,597.07,1077.44,593.7,1150,484.98,1198,1198,1000,1197.07,1077.44,1193.7,1150,1084.98,1198,1398,1000,1397.07,1077.44,1393.7,1150,1284.98,1198,198,1200,197.07,1277.44,193.7,1350,84.98,1398,398,1200,397.07,1277.44,393.7,1350,284.98,1398,598,1200,597.07,1277.44,593.7,1350,484.98,1398,1198,1200,1197.07,1277.44,1193.7,1350,1084.98,1398,95398.75,85637.52,79597.59,72974.11,100356.5,90573.94,81148.94,76792.97,108710.92,101898.41,96244.84,77100.03,70617.52,67531.99,64556.71,64096.1,74623,68473.16,66029.97,62834.54,86158.87,81147.74,74462.41,70127.13,102027.87,95498.01,93069.49,74805.16,66385.2,63476.73,62645.39,62806.42,60492.13,61230.15,60654.17,57623.01,66621.1,67710.75,67836.43,64178.94,88061.66,88428.75,87000.66,78645.78,65176.32,61681.24,60009.08,64346.98,57512.56,58198.67,58074.66,58346.37,61335.12,64653.22,67905.44,57815.5,72165.88,78694.02,82009.27,73212.48,65522.94,68133.46,67943.05,61886.58,62194.9,59839.7,56240.48,57713.62,60031.21,59195.41,55611.97,50054.71,58888.22,61632.46,65678.32,53412.54,78100.04,72949.65,68343.3,59359.32,88411.75,86558.65,84037.93,72370.98,50893.42,54139.75,57502.48,65445.07,51256.53,55206.42,55144.56,56115.95,63817.93,60981.27,62801.09,59300.71,66078.78,73900.8,78309.74,71586.13,0.66,6984020.08
198,0,47.6,22.52,193.04,150,84.79,198,398,0,397.6,72.52,393.04,150,284.79,198,548,0,697.6,72.52,593.04,150,484.79,148,1398,0,1397.6,72.52,1393.04,150,1284.79,198,798,200,797.6,272.52,793.04,350,684.79,398,998,200,997.6,272.52,993.04,350,884.79,398,1198,200,1197.6,272.52,1193.04,350,1084.79,398,1398,200,1347.6,272.52,1400,250,1284.79,398,1,401,1,451,51,501,1,551,898,500,797.6,472.52,793.04,550,684.79,598,1398,400,1397.6,472.52,1393.04,550,1284.79,598,1,601,1,670,1,740,50,798,201,601,201,651,201,701,201,801,798,600,797.6,672.52,843.04,700,684.79,798,998,600,997.6,672.52,993.04,750,884.79,798,598,800,597.6,872.52,593.04,950,484.79,998,1198,800,1197.6,872.52,1193.04,950,1084.79,998,398,1000,397.6,1072.52,393.04,1150,284.79,1198,1198,1000,1197.6,1072.52,1193.04,1150,1084.79,1198,1398,1000,1397.6,1072.52,1393.04,1150,1284.79,1198,1,1201,1,1251,1,1301,1,1351,398,1200,397.6,1272.52,393.04,1350,284.79,1398,598,1200,597.6,1272.52,593.04,1350,484.79,1398,998,1200,997.6,1272.52,993.04,1350,884.79,1398,1398,1200,1397.6,1272.52,1400,1400,1284.79,1398,91890.83,85645.63,74019.78,72201.53,94535.46,82852.72,73042.76,68139.77,98038.64,94531.85,79341.37,75784.13,108016.91,103593.61,103533.9,86217.79,80996.78,69470.55,65117.22,62991.74,86525.8,75070.3,68294.24,65765.81,85170.91,79436.76,76727.16,70583.39,97296.68,81685.77,92837.12,80807.63,74267.56,67424.65,65659,64575.96,69491.7,64136.24,64854.1,61514.91,92656.62,88861.48,87231.47,79326.32,59434.02,61147.95,59881.96,56923.18,66182.58,58642.66,57242.64,56924.18,65391.94,59737.38,62455.82,64437.88,74663.13,76323.54,74222.06,66447.9,62174.96,62335.17,62693.83,61288.28,86284.18,84152.08,81655.36,64267.13,59127.79,60347.64,61319.56,57717.23,75176.54,71592.02,66208.64,61611.93,89405.86,85473.14,84555.41,66477.78,65446.53,60076.04,60102.96,60847.69,57615.66,58099.49,59208.84,61466.57,61666.79,60169.87,61008.37,59994.37,60518.49,63533.21,65701.13,61665.15,81837.77,81594.86,83411.49,73687.88,0.68,7231756.31
198,0,197.46,75.07,197.18,149.14,149,198,398,0,397.46,75.07,397.18,149.14,349,198,598,0,597.46,75.07,597.18,149.14,549,198,998,0,997.46,75.07,997.18,149.14,949,198,1198,0,1197.46,75.07,1197.18,149.14,1149,198,1398,0,1397.46,75.07,1397.18,149.14,1349,198,398,200,397.46,275.07,397.18,349.14,349,398,798,200,797.46,275.07,797.18,349.14,749,398,1198,200,1197.46,275.07,1197.18,349.14,1149,398,198,400,197.46,475.07,197.18,549.14,149,598,398,400,397.46,475.07,397.18,549.14,349,598,598,600,597.46,675.07,597.18,749.14,549,798,798,600,797.46,675.07,797.18,749.14,749,798,198,800,197.46,875.07,197.18,949.14,149,998,598,800,597.46,875.07,597.18,949.14,549,998,798,800,797.46,875.07,797.18,949.14,749,998,1198,800,1197.46,875.07,1197.18,949.14,1149,998,198,1000,197.46,1075.07,197.18,1149.14,149,1198,398,1000,397.46,1075.07,397.18,1149.14,349,1198,598,1000,597.46,1075.07,597.18,1149.14,549,1198,1198,1000,1197.46,1075.07,1197.18,1149.14,1149,1198,198,1200,197.46,1275.07,197.18,1349.14,149,1398,998,1200,997.46,1275.07,997.18,1349.14,949,1398,1198,1200,1197.46,1275.07,1197.18,1349.14,1149,1398,1398,1200,1397.46,1275.07,1397.18,1349.14,1349,1398,88934.96,77359.4,71369.39,67934.67,91104.67,78827.91,71007.31,61406.23,94284.97,83629.41,76137.33,67966.85,95775.96,84934.13,79021.58,73764.05,100372.25,89865.31,84721.52,71807.45,107771.53,102855.52,98184.51,88016,61937.22,63227.18,69223.21,62481.72,75312.53,70727.55,72246.58,70615.64,77242.7,81694.93,87369.5,81573.49,67476.05,65234.93,64647.13,64197.98,67552.65,69025.7,69418.78,61346.09,73454.75,68110.04,64431.43,54043.92,83490.23,82167.64,79470.76,60644.14,64543.46,61992.05,59403.85,56104.65,57474.57,57744.44,59586.99,53211.96,73412.76,69824.76,68134.27,60691.27,92432.66,88683.65,86600.94,66325.03,51931.8,52514.58,56714.22,55672.02,54063.08,51778.93,51416.62,51153.52,56089.99,57689.67,58733.18,53817.18,83245.36,82280.94,79413.84,59248.41,51978.75,57670.37,64968.05,69188.94,60810.84,57500.78,56876.25,56618.86,73051.56,69290.7,67114.07,62582.21,88844.91,85758.66,82843.98,73432.65,0.67,7085879.64
100,50,250,0,350,0,500,0,700,0,850,0,1000,0,1150,0,1400,100,1400,0,0,150,150,200,300,200,600,50,700,250,750,100,950,200,1200,350,1250,250,1350,150,0,300,200,300,300,350,550,400,550,200,600,100,1200,200,1200,300,1400,300,1400,50,0,550,200,500,0,50,550,500,600,300,800,450,1000,500,1000,450,1350,500,1400,500,0,700,200,650,350,600,500,600,600,650,850,650,1000,650,1000,550,1300,600,1400,650,100,800,150,750,300,750,450,900,550,750,850,750,1050,850,1150,850,1300,650,1400,800,0,1000,150,1000,350,1150,450,950,650,950,850,900,1000,1000,1050,800,1300,950,1400,1000,0,1100,200,1150,350,1100,200,1300,700,1100,900,1150,900,1100,1100,1150,1350,1100,1400,1200,0,1200,300,1350,400,1250,300,1400,700,1200,850,1250,1050,1250,1100,1300,1200,1300,1300,1400,50,1450,250,1450,400,1400,500,1450,700,1400,850,1400,1000,1450,1100,1350,1300,1450,1350,1300,82458.79,86531.9,87285.16,89973.86,93357.55,93200.65,96760.45,98628.17,96886.27,107780.11,74509.99,71696.98,75155.56,82605.24,75673.75,81796.36,82519.79,83471.96,88853.33,92166.32,70939.99,67012.52,66703.65,69748.14,75914.06,72623.51,87685.85,82018.71,95671.68,99906.74,66669.1,67218.99,82815.46,67406.17,70645.89,72105.66,76344.28,81370.95,80840.31,91272.18,65129.11,64087.98,63463.28,64348.06,64175.18,70524.46,73248.89,71438.18,84065.69,89473.8,59350.61,61618.32,62269.11,62705.24,64370.64,68072.8,67288.37,78963.95,77271.99,88305.3,63771.41,63130.99,57754.7,58800.88,65850.26,65902.56,71580.82,74008.9,81206.21,87310.4,62216.09,59324.43,61393.49,56135.37,62895.69,64851.21,70134.66,73161.56,86077.51,86013.38,61240.72,55602.07,57711.64,54443.98,58509.59,60808.03,66610.34,65767.88,73642.59,82472.81,63885.31,59262.31,57828.21,61106.15,60190.25,61563.71,66875.93,61280.47,77847.52,82899.79,0.69,7347466.76
198,0,195.67,78.29,193.7,150,78.6,0,598,0,495.67,0,593.7,150,478.6,198,998,0,995.67,78.29,993.7,150,878.6,198,1198,0,1195.67,78.29,1193.7,150,1128.6,248,1398,0,1395.67,78.29,1393.7,150,1278.6,198,1,201,1,270,1,340,50,398,398,200,395.67,278.29,393.7,350,278.6,398,598,200,595.67,278.29,593.7,350,478.6,498,598,400,595.67,478.29,593.7,550,478.6,598,1198,400,1195.67,478.29,1193.7,550,1078.6,598,48,601,98,650,148,700,148,750,398,600,395.67,678.29,393.7,750,278.6,798,601,601,601,670,601,740,700,698,998,600,995.67,678.29,993.7,750,878.6,898,1398,600,1395.67,678.29,1393.7,750,1278.6,798,601,801,601,851,601,901,601,951,998,800,995.67,878.29,993.7,950,878.6,1098,1398,800,1395.67,878.29,1393.7,950,1278.6,998,798,1000,795.67,1078.29,793.7,1150,678.6,1198,1,1201,1,1270,1,1340,50,1398,201,1298,250,1398,300,1398,350,1398,401,1398,450,1398,500,1398,550,1398,798,1200,695.67,1278.29,793.7,1350,678.6,1400,998,1200,995.67,1278.29,993.7,1350,878.6,1398,1198,1200,1195.67,1278.29,1193.7,1350,1078.6,1398,91396.68,80688.43,74875.36,87741.64,93805.13,91003.34,84703.5,75761.5,95764.15,86816.47,80288.02,81147.4,101379.45,91670.48,83832.84,85149.17,107330.66,102749.79,97147.92,86658.49,75493.42,70991.72,68102.71,63921.35,72651.37,67410.32,66075.82,66048.34,77273.82,75685.63,74736.16,62912.04,70763.49,70435.11,68031.92,58497.22,92715.51,92349.55,88057.86,76372.15,65292.71,58467.34,55396.39,51708.81,57133.67,56770.29,54959.58,53243.86,64233.98,59890.4,58542.97,63820.22,71681.32,71653.63,70990.47,61300.54,94413.49,91258.12,89260.88,72429.11,58203.18,56331.57,56107.86,55414.12,67489.53,68248.08,68181.65,71426.69,85700.11,86074.99,84064.29,74880.59,65769.76,62459.58,63332.31,59962.35,66734.43,63408.15,58204.01,57065.87,61794.1,51187.94,51107.99,53092.14,55810.75,56866.1,57819.82,61115.38,63979.29,61186.62,61278.98,67260.43,72009.9,69034.09,65559.87,63733.77,83084.19,82762.28,81749.73,71532.81,0.68,7181840.97
198,0,96.79,74.77,192.57,150,91.93,198,398,0,346.79,24.77,392.57,150,241.93,198,598,0,596.79,74.77,592.57,150,491.93,198,798,0,796.79,74.77,792.57,150,691.93,198,998,0,996.79,74.77,992.57,150,891.93,198,1398,0,1400,74.77,1392.57,150,1291.93,198,198,100,196.79,274.77,242.57,350,91.93,398,1198,200,1196.79,274.77,1192.57,350,1091.93,398,201,401,101,470,201,540,250,598,598,400,596.79,474.77,592.57,550,491.93,598,798,400,796.79,474.77,792.57,550,691.93,698,1198,400,1196.79,474.77,1192.57,550,991.93,598,1,601,1,651,51,701,1,851,401,601,401,670,401,740,450,798,798,600,896.79,674.77,792.57,750,691.93,798,1198,600,1196.79,674.77,1192.57,750,1091.93,798,1398,800,1396.79,874.77,1392.57,950,1241.93,998,198,1000,196.79,1074.77,192.57,1150,91.93,1198,598,900,596.79,1074.77,592.57,1150,491.93,1248,998,1000,996.79,1074.77,1042.57,1200,891.93,1198,1398,1000,1396.79,1074.77,1392.57,1150,1291.93,1198,1,1201,1,1251,51,1301,1,1351,398,1100,396.79,1274.77,392.57,1350,291.93,1398,598,1200,596.79,1274.77,592.57,1350,491.93,1398,798,1200,796.79,1274.77,792.57,1350,691.93,1398,87285.56,77379.65,65669.2,67926.19,90839.43,80314,71779.8,65450.96,92723.5,79597.36,72169.04,67922.85,96878.94,84881.65,75744.04,70241.17,101788.73,92682.24,85287.35,75882.1,107778.51,103313,101403.21,93595.09,75082.9,65379.57,65569.78,65112.59,87811.81,87229.66,90192.97,75537.53,62497.59,60051.11,58925.44,56559.92,67943.84,62953.48,61162.63,58585.38,73963.3,70670.51,68435.41,60036.92,87126.78,87481.63,88091.4,72101.54,64534.24,57589.06,55692.81,65464.02,57365.51,55197.27,55351.22,55569.41,62682.12,66076.44,62941.58,59095.04,86328.17,86574.62,82003.73,69477.89,91055.82,87467.21,86423.77,69614.1,65080.51,61267.37,59366.89,59000.38,62538.8,67270.87,65330.63,55936.89,68741.38,68519.36,71003.28,66738.44,83794.52,85229.62,83048.03,74416.47,61909.3,56453.67,55786.06,62420.11,60250.79,55058.94,55721.62,60187.87,61559.2,59352.83,59099.19,58966.36,63385.08,67625.91,72319.41,65284.23,0.68,7166205.31
0,0,250,0,250,50,550,0,650,50,800,0,900,50,1300,0,1300,100,1450,100,50,200,150,150,350,100,450,200,600,150,800,150,900,150,1150,250,1250,200,1450,150,50,400,250,350,400,300,450,350,650,300,750,300,900,300,1100,300,1200,300,1450,350,100,450,150,500,350,450,500,550,650,450,750,550,1000,500,1100,550,1250,450,1450,550,0,600,250,700,300,600,550,650,600,650,800,600,1000,600,1050,600,1300,600,1450,600,50,750,250,850,350,600,550,800,800,750,850,850,950,900,1100,850,1300,800,1450,800,50,950,200,950,350,950,550,1000,600,900,750,1000,1150,950,1150,1000,1300,950,1350,900,0,1150,200,1050,400,1050,450,1050,700,1050,800,1050,1000,1100,1150,1050,1300,1050,1450,1100,100,1250,150,1200,400,1300,550,1200,700,1250,800,1200,900,1250,1100,1400,1250,1200,1350,1250,100,1450,150,1400,300,1400,500,1400,650,1350,750,1400,900,1450,1100,1350,1250,1400,1450,1450,88889.21,93103.72,78883.73,94064.14,86339.08,98775.91,96474.05,105744.98,95847.12,105566.15,74031.27,76598.71,80093.9,73664.94,79605.57,80954.85,85527.2,84886.83,93503.63,96261.5,70506.99,67594.03,69674.43,66424.83,70962.86,74525.24,78032.82,78150.18,88075.55,98990.27,63213.78,59866.61,67750.84,65255.8,71303.2,66999.88,77110.63,78364.22,87190.91,95447.14,64902.98,61312.76,57457.41,58762.5,64282.17,67100.6,65979.68,69628.01,80729.25,87787.93,63493.84,62714.04,59644.93,63282.33,73969.56,65125.69,65230.71,72383.88,83376.75,90380.81,60300.63,58823.24,57253.44,57235.49,60663.09,61236.39,70325.65,65928.36,78322.8,84157.16,62484.01,55667.7,50945.44,53833.28,55520.39,60221.43,63452.81,67918.81,79089.73,86757.34,58728.42,61427.85,57874.12,56899.02,57393.82,61259.13,65292.46,68304.8,75432.44,82043.3,64615.97,61463.4,60153.54,57798.56,57872.8,62328.28,64439.42,71290.81,77664.34,86151.56,0.68,7240373.72
198,0,197.07,78.06,193.7,150,87.36,198,398,0,397.07,78.06,393.7,150,287.36,198,598,0,597.07,78.06,593.7,150,487.36,198,1398,0,1397.07,78.06,1393.7,150,1287.36,198,198,200,197.07,278.06,193.7,350,87.36,398,398,200,397.07,278.06,393.7,350,287.36,398,798,200,797.07,278.06,793.7,350,687.36,398,998,200,997.07,278.06,993.7,350,887.36,398,798,400,797.07,478.06,793.7,550,687.36,598,998,400,997.07,478.06,993.7,550,887.36,598,198,600,197.07,678.06,193.7,750,87.36,798,398,600,397.07,678.06,393.7,750,287.36,798,198,800,197.07,878.06,193.7,950,87.36,998,798,800,797.07,878.06,793.7,950,687.36,998,1198,800,1197.07,878.06,1193.7,950,1087.36,998,1398,800,1397.07,878.06,1393.7,950,1287.36,998,198,1000,197.07,1078.06,193.7,1150,87.36,1198,398,1000,397.07,1078.06,393.7,1150,287.36,1198,598,1000,597.07,1078.06,593.7,1150,487.36,1198,998,1000,997.07,1078.06,993.7,1150,887.36,1198,1398,1000,1397.07,1078.06,1393.7,1150,1287.36,1198,198,1200,197.07,1278.06,193.7,1350,87.36,1398,398,1200,397.07,1278.06,393.7,1350,287.36,1398,598,1200,597.07,1278.06,593.7,1350,487.36,1398,1198,1200,1197.07,1278.06,1193.7,1350,1087.36,1398,91674.94,79787.17,72159.32,68854.4,97358.77,85089.67,75951.99,65458.11,103120.17,94358.06,86183.1,73316.64,106992.99,103547.99,101676.05,96102.82,63196.11,61897.95,61795.52,65808.73,66388.72,64538.95,63654.77,60482.18,89878.25,80109.85,72389.19,65145.33,96629.79,92205.33,91029.56,73872.21,66465.55,68740.91,67883.71,67076.04,86291.15,87359.28,84909.51,75302.04,68251.06,67349.49,64653.73,61755.48,68292.83,68482.58,67843.22,59884.73,58868.02,61448.79,63317.77,60434.8,74656.57,71195.41,66244.99,59554.68,85573.23,77864.2,69884.97,64737.59,94496.44,90639.9,88553.32,71070.7,57862.57,55085.27,52309.48,54962.99,57658.9,53620.21,50627.75,46529.84,58328.83,57802.53,58206.65,49981.36,63845.33,63339.49,64262.57,59035.27,85131.76,85323.45,83061.6,74771.77,48696,52264.82,54931.31,62606.03,47303.96,51023.89,52316.32,55141.71,57434.97,59071.21,62154.62,58403.79,68246.56,75037.23,77919.54,69957.78,0.67,7043994.7
198,0,196.79,73.6,197.18,147.71,133,192,416,0,401,51,331,20,425,147,798,0,796.79,73.6,747.18,97.71,749,198,1198,0,1196.79,73.6,1197.18,147.71,1158,193,1398,0,1420,51,1412,126,1349,298,200,220,196.79,273.6,197.18,347.71,154,379,998,200,996.79,273.6,997.18,347.71,949,398,1398,200,1411,274,1397.18,347.71,1349,398,48,401,98,450,148,500,198,550,598,400,615,460,597.18,647.71,549,598,1420,407,1396.79,473.6,1397.18,547.71,1311,676,798,600,813,703,809,754,749,798,1398,600,1407,684,1397.18,747.71,1249,798,1,998,50,998,100,1098,150,998,438,768,396.79,873.6,397.18,947.71,349,998,1042,789,1001,851,1001,901,1001,951,1398,800,1396.79,873.6,1397.18,947.71,1351,966,598,1000,496.79,1073.6,603,1138,549,1198,1198,1000,1196.79,1073.6,1197.18,1147.71,1151,1241,1400,1000,1396.79,1073.6,1397.18,1147.71,1349,1198,98,1350,196.79,1273.6,165,1360,99,1400,339,1130,396.79,1273.6,347.18,1347.71,281,1363,798,1200,941,1267,797.18,1347.71,776,1412,1096,1198,1196.79,1273.6,1186,1355,1186,1409,1398,1200,1396.79,1273.6,1400,1347.71,1349,1398,86700.45,76629.92,74166.44,69946.22,93549.87,78246.04,82692.81,76060.02,96497.05,87282.76,78782.76,76092.84,100162.84,91897.51,87886.94,79848.05,106807.77,100177.31,99136.27,80855.67,69328.9,65881.58,68925.19,66393.02,79367.14,74265.99,71996.6,69543.2,97350.12,94194.47,89963.3,75296.73,66875.4,62367.31,62629.27,62119.65,72906.64,68707.6,63890.59,66470.81,87930.79,86953.94,89396.8,75898.06,74316.93,69251.45,63207.83,58307.49,87293.15,89263.1,87077.56,73217.33,62991.78,62345.01,56527.8,62997.49,62065,64286.31,64388.26,60571.34,69251.48,65580.62,62344,60763.3,86036.62,86844.27,86764.29,66734.86,61985.26,58463.77,59750.34,54624.34,68393.46,66980.13,64593.41,57729.02,82038.83,83520.16,83554.47,65535.66,59640.91,58153.16,59624.62,58488.64,58855.6,57936.17,61012.41,57618.52,56188.96,55738.47,58305.25,60419.44,58039.35,61844.94,64603.56,67084.98,81304.47,82146.2,81433.5,72969.74,0.69,7272876.36
598,0,597.07,77.61,597.18,150,549,197.99,798,0,797.07,77.61,797.18,150,749,197.99,998,0,997.07,77.61,997.18,150,949,197.99,1398,0,1397.07,77.61,1397.18,150,1349,197.99,198,200,197.07,277.61,197.18,350,149,397.99,398,200,397.07,277.61,397.18,350,349,397.99,998,200,997.07,277.61,997.18,350,949,397.99,1198,200,1197.07,277.61,1197.18,350,1149,397.99,398,400,397.07,477.61,397.18,550,349,597.99,598,400,597.07,477.61,597.18,550,549,597.99,798,600,797.07,677.61,797.18,750,749,797.99,1398,600,1397.07,677.61,1397.18,750,1349,797.99,198,800,197.07,877.61,197.18,950,149,997.99,398,800,397.07,877.61,397.18,950,349,997.99,598,800,597.07,877.61,597.18,950,549,997.99,798,800,797.07,877.61,797.18,950,749,997.99,1198,800,1197.07,877.61,1197.18,950,1149,997.99,198,1000,197.07,1077.61,197.18,1150,149,1197.99,398,1000,397.07,1077.61,397.18,1150,349,1197.99,198,1200,197.07,1277.61,197.18,1350,149,1397.99,398,1200,397.07,1277.61,397.18,1350,349,1397.99,798,1200,797.07,1277.61,797.18,1350,749,1397.99,998,1200,997.07,1277.61,997.18,1350,949,1397.99,1198,1200,1197.07,1277.61,1197.18,1350,1149,1397.99,1398,1200,1397.07,1277.61,1397.18,1350,1349,1397.99,91756.02,80484.74,74779.85,71213.39,96286.09,83368.81,75151.71,68218.07,101156.83,92709.95,86164.04,69057,108089.77,104434.76,101189.73,92758.42,79871.47,72053.77,67054.47,64965.11,77033.45,72453.65,69759.7,60543.29,75327.13,72841.7,72871.8,70631.6,88447.04,87729.36,89048.16,81181.5,61337.07,59841.51,61651.71,60290.62,73919.48,71868.39,69014.72,62582.76,79136.04,75446.41,73790.3,59487.23,93642.27,91439.73,89801.63,81249.82,67135.97,61727.04,58895.37,55948.62,66070.83,60945.99,59520.93,52512.58,63382.64,62571.17,60780.23,58243.24,68482.33,69368.94,70896.5,63838.35,78816.23,81034.57,83548.99,76154.12,50405.75,53696.23,56873.48,55688.56,52559.12,54433.76,58355.9,50332.31,51075.16,52532.62,57579.76,63492.33,55582.66,54750.45,56694.25,56864.49,63824.85,58068.16,57112.12,53313.07,72121.78,64775.83,59914.53,56649.34,78258.22,72446.89,68645.45,63187.43,88373.17,86765.48,83568.95,73356.08,0.67,7064304.88
0,0,100,0,150,0,350,0,700,0,1100,0,1200,0,1250,0,1350,0,450,50,1250,50,100,100,150,100,350,100,750,100,950,100,1150,100,500,150,550,150,1350,150,150,200,650,200,1000,200,1200,200,1250,200,1300,200,50,250,350,250,1000,250,200,300,800,300,1000,300,1300,300,1300,350,250,400,1000,400,1150,400,0,450,450,450,750,450,100,500,200,500,700,500,1050,500,1250,500,950,550,1250,550,1400,550,200,600,850,600,950,600,1350,600,150,650,1150,650,250,700,950,700,50,750,100,750,150,800,700,800,1300,800,600,850,50,900,100,900,950,900,1400,900,100,950,400,1000,450,1000,550,1000,950,1000,1050,1000,850,1050,100,1100,100,1150,200,1200,400,1200,750,1200,1150,1200,100,1250,800,1250,900,1250,950,1250,1350,1250,700,1300,750,1300,0,1350,700,1350,800,1350,850,1350,1150,1350,1250,1350,0,1400,50,1400,100,1400,150,1400,400,1400,1000,1400,1350,1400,1400,1400,82907.12,80742.68,84638.13,91891.89,94407.91,91207.91,88007.85,97817.51,106886.58,87386.68,86242.78,66751.57,70362.7,75706.38,82428.64,86094.88,84246.3,68197.98,73226.66,97616.58,66485.15,73696.63,78386.47,74004.65,76529.35,85988.83,66906.53,67056.07,73059.16,64422,70596.75,74029.92,89799.87,86696.88,64171.53,74282.54,80330.07,68967.46,64801.02,66867.54,63684.57,65937.8,62309.47,72461.88,83783.18,68279.73,74639.89,92885.42,66345.02,60439.75,66234.17,80391.08,62147.15,75306.07,65754.12,68542.95,62204.91,63502.31,64226.66,72355.22,86145.1,67383.66,60742.33,62698.18,78175.1,87795.34,58131.57,59712.25,63012.58,71931.73,72492.68,80921.22,71818.39,66102.52,61002.53,60783.67,61037.25,67176.1,82623.92,63060.05,61110.98,63410.87,71731.79,87878.52,50505.78,53679.18,65294.68,51551.33,53147.51,61008.82,71542.25,76813.58,57690.5,55385,58243.8,64052.72,62626.83,65465.37,72837.79,87866.53,0.68,7229868.49
